X,Y,NUDBO,MEDDBO,MINDBO,MAXDBO,DEVDBO,LATITUDE,LONGITUDE,OBJECTID,ID,CDESTACAO,ANO,SGUF,ENTIDADE,CORPODAGUA,AMBIENTE
-48.86,-25.5444439992653,4,1.975,1.8,2.1,0.125831,-25.544444,-48.86,98,391,82198000,2021,PR,Águas Paraná,Rio do Pinto,1
-49.393561,-25.5330029992655,4,9.45,4.8,13,3.778448,-25.533003,-49.393561,99,393,65023000,2021,PR,Águas Paraná,Rio Passauna,1
-48.7507,-25.5262999992656,4,1.95,1.5,2.3,0.331662,-25.5263,-48.7507,100,397,82198300,2021,PR,Águas Paraná,RIO SAGRADO,1
-49.146846,-25.5191959992658,4,1.75,1.5,2,0.288675,-25.519196,-49.146846,101,401,65010000,2021,PR,Águas Paraná,Rio Pequeno,1
-49.189418,-25.4834409992666,4,22.25,13,38,11.615363,-25.483441,-49.189418,102,418,65009000,2021,PR,Águas Paraná,Rio Iguacu,1
-48.83,-25.4769439992667,4,1.95,1.9,2,0.057735,-25.476944,-48.83,103,421,82170000,2021,PR,Águas Paraná,Rio Nhundiaquara,1
-50.532778,-25.4641669992669,4,2.1,1.5,3,0.637704,-25.464167,-50.532778,104,428,64441020,2021,PR,Águas Paraná,Rio Imbituva,1
-49.77,-25.459999999267,4,1.925,1.5,2.2,0.298608,-25.46,-49.77,105,430,65034000,2021,PR,Águas Paraná,Rio dos Papagaios,1
-49.171541,-25.4540029992671,4,14.75,7,32,11.70114,-25.454003,-49.171541,106,433,65006075,2021,PR,Águas Paraná,Rio Iraí,1
-49.121354,-25.4505849992672,4,1.75,1.5,2,0.288675,-25.450585,-49.121354,107,436,65004995,2021,PR,Águas Paraná,Rio Piraquara,1
-49.197909,-25.4468179992673,4,18.5,14,23,3.872983,-25.446818,-49.197909,108,440,65007046,2021,PR,Águas Paraná,Rio Atuba,1
-49.118486,-25.4409469992674,4,3.375,2.1,6,1.789553,-25.440947,-49.118486,109,451,65003950,2021,PR,Águas Paraná,Rio Iraí,1
-53.5167,-25.4330999992676,4,2.2,1.5,3,0.627163,-25.4331,-53.5167,110,460,65979000,2021,PR,Águas Paraná,Rio Andrada,1
-49.387783,-25.4263049992677,4,2.55,2,3,0.443471,-25.426305,-49.387783,111,464,65021800,2021,PR,Águas Paraná,Rio Passaúna,1
-49.106565,-25.4252879992678,4,2.175,1.7,3,0.567891,-25.425288,-49.106565,112,465,65001500,2021,PR,IAT,Rio Iraí,1
-48.884722,-25.4213889992678,4,2.175,2,2.7,0.35,-25.421389,-48.884722,113,470,82169000,2021,PR,Águas Paraná,Rio Nhundiaquara,1
-49.384916,-25.4169839992679,4,1.925,1.5,2.2,0.298608,-25.416984,-49.384916,114,473,65021770,2021,PR,Águas Paraná,Rio Cachoeirinha,1
-51.508889,-25.4161109992679,4,3.8,3,4.6,0.6733,-25.416111,-51.508889,115,474,65810700,2021,PR,Águas Paraná,CASCAVEL,1
-53.103611,-25.3936109992684,4,2,2,2,0,-25.393611,-53.103611,116,482,65970000,2021,PR,Águas Paraná,Rio Guarani,1
-52.025,-25.3799999992687,4,1.75,1.5,2,0.288675,-25.38,-52.025,117,493,65854500,2021,PR,Águas Paraná,CAVERNOSO,1
-49.119778,-25.3775799992688,4,2.5,1.5,5,1.683251,-25.37758,-49.119778,118,498,65094500,2021,PR,Águas Paraná,Rio Preto,1
-49.086082,-25.3713059992689,4,13.325,4.1,29,10.936598,-25.371306,-49.086082,119,499,65001000,2021,PR,Águas Paraná,Rio Pequeno,1
-49.340894,-25.3461719992694,4,1.95,1.9,2,0.057735,-25.346172,-49.340894,120,504,65020995,2021,PR,Águas Paraná,Rio Passauna,1
-48.7736,-25.3425999992695,4,1.75,1.5,2,0.288675,-25.3426,-48.7736,121,505,82140700,2021,PR,Águas Paraná,RIO DO NUNES,1
-49.184368,-25.3417929992695,4,1.75,1.5,2,0.288675,-25.341793,-49.184368,122,506,81120000,2021,PR,Águas Paraná,Rio Piedade,1
-49.184368,-25.3417929992695,4,2.2,1.7,3.1,0.616441,-25.341793,-49.184368,123,506,81120000,2021,PR,Águas Paraná,Rio Piedade,1
-49.184368,-25.3417929992695,4,2.575,2,3.7,0.801561,-25.341793,-49.184368,124,506,81120000,2021,PR,Águas Paraná,Rio Piedade,1
-49.162216,-25.3219979992699,4,2.525,1.5,4,1.198263,-25.321998,-49.162216,125,508,65006040,2021,PR,Águas Paraná,Rio Palmital,1
-49.982778,-25.31694399927,4,1.875,1.6,2,0.189297,-25.316944,-49.982778,126,509,64430200,2021,PR,Águas Paraná,Rio Tibagi,1
-54.0797,-25.2907999992705,4,2,2,2,0,-25.2908,-54.0797,127,516,64897500,2021,PR,Águas Paraná,Rio Alegria,1
-48.7475,-25.2427779992715,5,1.8,1.5,2,0.273861,-25.242778,-48.7475,128,519,82065000,2021,PR,Águas Paraná,Rio Cachoeira,1
-49.594167,-25.2366669992717,4,1.75,1.5,2,0.288675,-25.236667,-49.594167,129,520,81019350,2021,PR,Águas Paraná,AÇUNGUI,1
-50.9526,-25.2328999992717,4,3.225,1.6,7.3,2.723203,-25.2329,-50.9526,130,521,64619950,2021,PR,Águas Paraná,RIO IVAI,1
-48.4667,-25.1999999992724,4,2.3,2,3.2,0.6,-25.2,-48.4667,131,525,82009800,2021,PR,Águas Paraná,RIO TAGAÇABA,1
-50.5242,-25.1991999992725,4,2.325,1.6,3,0.780491,-25.1992,-50.5242,132,526,64442800,2021,PR,Águas Paraná,RIO LAJEADO,1
-48.2425,-25.1599999992733,4,2.55,1.5,4.7,1.452584,-25.16,-48.2425,133,530,82002000,2021,PR,Águas Paraná,GUARAQUEÇABA,1
-48.395556,-25.1527779992735,4,1.75,1.5,2,0.288675,-25.152778,-48.395556,134,531,82006000,2021,PR,Águas Paraná,Informação não disponível,1
-54.312205,-25.1358969992738,4,2,2,2,0,-25.135897,-54.312205,135,532,64898100,2021,PR,IAP,RIO DAS FLORES,1
-53.464722,-25.029721999276,4,1.875,1.5,2,0.25,-25.029722,-53.464722,136,536,65976001,2021,PR,Águas Paraná,Rio Cascavel,1
-52.28,-24.9799999992771,4,2.1,1.5,2.9,0.583095,-24.98,-52.28,137,538,64764000,2021,PR,ANA,Rio Piquiri,1
-49.98,-24.9652779992774,4,1.925,1.7,2,0.15,-24.965278,-49.98,138,539,64449570,2021,PR,Águas Paraná,JOTUBA,1
-49.941111,-24.9597219992775,4,1.95,1.5,2.3,0.331662,-24.959722,-49.941111,139,540,64449500,2021,PR,Águas Paraná,Rio Pitangui,2
-50.390556,-24.9438889992779,4,1.8,1.6,2,0.23094,-24.943889,-50.390556,140,541,64447000,2021,PR,Águas Paraná,Rio Tibagi,1
-49.483056,-24.9302779992781,4,2.025,1.5,2.6,0.45,-24.930278,-49.483056,141,542,81102000,2021,PR,Águas Paraná,Informação não disponível,1
-52.7628,-24.8660999992795,4,2.25,2,3,0.5,-24.8661,-52.7628,142,543,64771500,2021,PR,Águas Paraná,Rio Piquiri,1
-50.29,-24.8599999992796,4,2,1.5,3,0.707107,-24.86,-50.29,143,544,64447500,2021,PR,COPEL,Rio Tibagi,1
-49.2734,-24.84349999928,4,3.175,2,4.9,1.429161,-24.8435,-49.2734,144,545,81139500,2021,PR,Águas Paraná,RIO PONTA GROSSA,1
-50.28,-24.8299999992803,4,3,2,4.5,1.080123,-24.83,-50.28,145,546,64453000,2021,PR,Águas Paraná,Rio Pitangui,1
-52.233056,-24.7830559992813,4,2.05,1.5,2.7,0.493288,-24.783056,-52.233056,146,548,64773000,2021,PR,Águas Paraná,Informação não disponível,1
-51.77,-24.7669439992816,4,2.05,1.5,2.7,0.493288,-24.766944,-51.77,147,549,64634000,2021,PR,Águas Paraná,Rio Ernesto,1
-53.774167,-24.7547219992819,4,4.9,2,8,3.039737,-24.754722,-53.774167,148,550,64863520,2021,PR,Águas Paraná,Rio Toledo,1
-52.88,-24.749999999282,4,2.65,2,3.6,0.789515,-24.75,-52.88,149,552,64776100,2021,PR,ANA,Rio Piquiri,1
-50.0889,-24.749699999282,4,1.75,1.5,2,0.288675,-24.7497,-50.0889,150,553,64474900,2021,PR,Águas Paraná,Rio Iapó,1
-52.7028,-24.748599999282,4,2,2,2,0,-24.7486,-52.7028,151,554,64775000,2021,PR,Águas Paraná,Rio Cantu,1
-48.5047,-24.7435999992821,4,1.75,1.5,2,0.288675,-24.7436,-48.5047,152,555,81335000,2021,PR,Águas Paraná,Rio Pardo,1
-54.0966,-24.7433999992821,4,2.75,2,4,0.957427,-24.7434,-54.0966,153,556,64875501,2021,PR,IAP,RIO SÃO FRANCISCO VERDADEIRO,1
-50.493611,-24.7049999992829,4,2.95,2,5.5,1.705872,-24.705,-50.493611,154,560,64460000,2021,PR,Águas Paraná,Rio Capivari,1
-49.3022,-24.6730999992836,4,1.75,1.5,2,0.288675,-24.6731,-49.3022,155,563,81160000,2021,PR,Águas Paraná,RIO ITAPIRAPUÃ,1
-48.826944,-24.654166999284,5,2,2,2,0,-24.654167,-48.826944,156,566,RIBE02500,2021,SP,CETESB,Rio Ribeira,1
-53.1,-24.6299999992845,4,1.75,1.5,2,0.288675,-24.63,-53.1,157,568,64790000,2021,PR,ANA,Rio Sapucaí,1
-52.9331,-24.6166999992848,4,1.75,1.5,2,0.288675,-24.6167,-52.9331,158,569,64785000,2021,PR,Águas Paraná,Rio Goio Bango ou Tricolor,1
-49.971111,-24.6133329992849,4,3.325,2,4.4,1.087428,-24.613333,-49.971111,159,570,64477020,2021,PR,Águas Paraná,RIO PIRAÍ,1
-53.1667,-24.516699999287,4,1.75,1.5,2,0.288675,-24.5167,-53.1667,160,576,64795000,2021,PR,Águas Paraná,Rio Piquiri,1
-50.409722,-24.5094439992871,4,2.15,1.5,3.1,0.675771,-24.509444,-50.409722,161,577,64465000,2021,PR,Águas Paraná,Rio Tibagi,1
-53.1575,-24.4041999992894,4,2,2,2,0,-24.4042,-53.1575,162,580,64799500,2021,PR,Águas Paraná,Rio Piquiri,1
-54.14,-24.3899999992897,4,2.25,2,3,0.5,-24.39,-54.14,163,582,64849000,2021,PR,Águas Paraná,Arroio Guaçu,1
-50.595,-24.3594439992904,4,1.825,1.5,2,0.236291,-24.359444,-50.595,164,583,64482000,2021,PR,Águas Paraná,Rio Tibagi,1
-51.42,-24.3399999992908,4,1.75,1.5,2,0.288675,-24.34,-51.42,165,584,64645000,2021,PR,ANA,Rio Ivaí,1
-50.722222,-24.3124999992914,4,1.875,1.5,2,0.25,-24.3125,-50.722222,166,587,64482800,2021,PR,Águas Paraná,IMBAUZINHO,1
-53.899527,-24.3032219992916,4,2,2,2,0,-24.303222,-53.899527,167,588,64831500,2021,PR,ANA,Rio São Camilo,1
-51.666944,-24.2608329992925,4,2.125,1.5,3,0.629153,-24.260833,-51.666944,168,589,64647000,2021,PR,Águas Paraná,Rio Pindaúva,1
-49.7,-24.2499999992928,4,3.1,1.9,6.5,2.267157,-24.25,-49.7,169,590,64240000,2021,PR,ANA,Rio Capivari,1
-53.3333,-24.1999999992939,4,1.75,1.5,2,0.288675,-24.2,-53.3333,170,591,64820000,2021,PR,Águas Paraná,RIO PIQUIRI,1
-53.746111,-24.1880559992942,4,2,2,2,0,-24.188056,-53.746111,171,593,64830000,2021,PR,Águas Paraná,Rio Piquiri,1
-50.848611,-24.1705559992945,4,1.75,1.5,2,0.288675,-24.170556,-50.848611,172,596,64483950,2021,PR,Águas Paraná,BARRA GRANDE,1
-53.059732,-24.1531869992949,4,1.75,1.5,2,0.288675,-24.153187,-53.059732,173,597,64802000,2021,PR,IAT,Ribeirão Água,1
-53.316667,-24.1330559992953,4,1.875,1.5,2,0.25,-24.133056,-53.316667,174,598,64815000,2021,PR,Águas Paraná,GOIO ERE & FAROL,1
